,all_spl_values,occurance_times,ids,origin,emitter_id,bat_direction,incident_direction,type,reflected_from,sound_object_id,bat_last_call_time,sound_direction,theta,bat_position,distance_from_bat,creation_time,received_spl,time,duration
10,[np.float64(62.24588100320035)],[np.float64(0.20600000000000002)],[UUID('87f23189-8ca8-443f-81a8-f642c3efa139')],"(np.int64(2), np.int64(10))",28,"Vector(-0.045, 0.999)","Vector(-3.072, 5.888)",direct,,87f23189-8ca8-443f-81a8-f642c3efa139,0.20400000000000001,"Vector(0.000, -1.000)",155.20425130734878,"Vector(5.072, 4.112)",6.64123054625421,0.185,62.246,0.206,0.001
11,"[np.float64(61.2636066975896), np.float64(61.266409701967085)]","[np.float64(0.209), np.float64(0.21)]","[UUID('e396c11c-acfb-48ad-8e6e-87f82ca663e1'), UUID('e396c11c-acfb-48ad-8e6e-87f82ca663e1')]","(np.int64(9), np.int64(10))",35,"Vector(-0.045, 0.999)","Vector(3.929, 5.876)",direct,,e396c11c-acfb-48ad-8e6e-87f82ca663e1,0.20400000000000001,"Vector(0.000, -1.000)",93.88746418503388,"Vector(5.071, 4.124)",7.068628641349042,0.188,61.265,0.209,0.002
12,"[np.float64(80.90129992656854), np.float64(80.89515887056915)]","[np.float64(0.209), np.float64(0.21)]","[UUID('32100130-d117-454e-8936-f7ae454f35f2'), UUID('32100130-d117-454e-8936-f7ae454f35f2')]","(np.float64(0.0), np.float64(1.0199))",0,"Vector(-0.045, 0.999)","Vector(-5.071, -3.104)",echo,wall_obstacle_1,32100130-d117-454e-8936-f7ae454f35f2,0.20400000000000001,"Vector(0.000, -1.000)",-110.8756457731041,"Vector(5.071, 4.124)",5.945643686204211,0.19105801749271137,80.898,0.209,0.002
13,"[np.float64(64.30086631180897), np.float64(64.30544170549824)]","[np.float64(0.21), np.float64(0.211)]","[UUID('d2d796c5-45b8-48e1-9817-edeb2ef441d5'), UUID('d2d796c5-45b8-48e1-9817-edeb2ef441d5')]","(np.int64(10), np.int64(6))",23,"Vector(-0.045, 0.999)","Vector(4.929, 1.873)",direct,,d2d796c5-45b8-48e1-9817-edeb2ef441d5,0.20400000000000001,"Vector(-1.000, 0.000)",58.46290677949572,"Vector(5.071, 4.127)",5.272944423422269,0.194,64.303,0.21,0.002
14,"[np.float64(60.822604586409874), np.float64(60.82264668351132)]","[np.float64(0.21), np.float64(0.211)]","[UUID('f151b8e9-7c6e-4feb-be58-e4ff665a40b4'), UUID('f151b8e9-7c6e-4feb-be58-e4ff665a40b4')]","(np.float64(10.0), np.float64(6.1199))",23,"Vector(-0.045, 0.999)","Vector(4.929, 1.993)",echo,wall_obstacle_24,f151b8e9-7c6e-4feb-be58-e4ff665a40b4,0.20400000000000001,"Vector(0.000, -1.000)",59.67082278048253,"Vector(5.071, 4.127)",5.316719615185664,0.19434956268221576,60.823,0.21,0.002
15,"[np.float64(61.98792542799125), np.float64(61.99246389634202)]","[np.float64(0.211), np.float64(0.212)]","[UUID('37e3edc2-e379-4ba7-8643-3aa9706c5b3c'), UUID('37e3edc2-e379-4ba7-8643-3aa9706c5b3c')]","(np.float64(10.0), np.float64(5.6101))",23,"Vector(-0.045, 0.999)","Vector(4.929, 1.480)",echo,wall_obstacle_23,37e3edc2-e379-4ba7-8643-3aa9706c5b3c,0.20400000000000001,"Vector(0.000, 1.000)",54.37014140840665,"Vector(5.071, 4.130)",5.146624971852913,0.19513673469387754,61.99,0.211,0.002
16,"[np.float64(63.91533973895368), np.float64(63.91369992582589)]","[np.float64(0.304), np.float64(0.305)]","[UUID('1b675a34-eae3-4092-b44e-e77bdc5942ef'), UUID('1b675a34-eae3-4092-b44e-e77bdc5942ef')]","(np.int64(10), np.int64(2))",19,"Vector(-0.045, 0.999)","Vector(4.942, -2.409)",direct,,1b675a34-eae3-4092-b44e-e77bdc5942ef,0.302,"Vector(-1.000, 0.000)",11.669865753571514,"Vector(5.058, 4.409)",5.497950354568509,0.28700000000000003,63.915,0.304,0.002
17,"[np.float64(68.91703908507212), np.float64(68.91098164514604)]","[np.float64(0.304), np.float64(0.305)]","[UUID('5586a6bb-70df-451d-a9af-16d4745a46c5'), UUID('5586a6bb-70df-451d-a9af-16d4745a46c5')]","(np.float64(10.0), np.float64(2.0399))",19,"Vector(-0.045, 0.999)","Vector(4.942, -2.369)",echo,wall_obstacle_16,5586a6bb-70df-451d-a9af-16d4745a46c5,0.302,"Vector(0.000, -1.000)",12.044828803412628,"Vector(5.058, 4.409)",5.480586307622571,0.28711632653061225,68.914,0.304,0.002
18,"[np.float64(74.2667187679273), np.float64(74.26945975573612)]","[np.float64(0.306), np.float64(0.307)]","[UUID('9c41cdb3-2a49-472a-ad44-bd7b179e7fd7'), UUID('9c41cdb3-2a49-472a-ad44-bd7b179e7fd7')]","(np.int64(0), np.int64(9))",8,"Vector(-0.045, 0.999)","Vector(-5.058, 4.585)",direct,,9c41cdb3-2a49-472a-ad44-bd7b179e7fd7,0.302,"Vector(1.000, 0.000)",175.45904502219685,"Vector(5.058, 4.415)",6.826616118905472,0.28600000000000003,74.268,0.306,0.002
19,"[np.float64(62.630990476020536), np.float64(62.63499358325731)]","[np.float64(0.306), np.float64(0.307)]","[UUID('c223e0fd-8f8d-4165-b3f5-d442fa96fb23'), UUID('c223e0fd-8f8d-4165-b3f5-d442fa96fb23')]","(np.int64(2), np.int64(10))",28,"Vector(-0.045, 0.999)","Vector(-3.058, 5.585)",direct,,c223e0fd-8f8d-4165-b3f5-d442fa96fb23,0.302,"Vector(0.000, -1.000)",156.35258174817363,"Vector(5.058, 4.415)",6.367326568890589,0.28700000000000003,62.633,0.306,0.002
