,func,ncalls,ccalls,tottime,cumtime,callers
88,"<code object __init__ at 0x5589637038e0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/uuid.py"", line 139>",41519,0,0.16765094,0.134017714,"[_lsprof.profiler_subentry(code='<built-in method builtins.isinstance>', callcount=41519, reccallcount=0, totaltime=0.00476912, inlinetime=0.00476912), _lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=41519, reccallcount=0, totaltime=0.007282607000000001, inlinetime=0.007282607000000001), _lsprof.profiler_subentry(code=""<method 'count' of 'list' objects>"", callcount=41519, reccallcount=0, totaltime=0.011679102, inlinetime=0.011679102), _lsprof.profiler_subentry(code='<built-in method from_bytes>', callcount=41519, reccallcount=0, totaltime=0.009902397, inlinetime=0.009902397)]"
89,"<code object __init__ at 0x55896372deb0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/pathlib.py"", line 358>",2,0,3.446e-06,2.302e-06,"[_lsprof.profiler_subentry(code='<built-in method posix.fspath>', callcount=2, reccallcount=0, totaltime=3.25e-07, inlinetime=3.25e-07), _lsprof.profiler_subentry(code='<built-in method builtins.isinstance>', callcount=4, reccallcount=0, totaltime=4.51e-07, inlinetime=4.51e-07), _lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=2, reccallcount=0, totaltime=3.68e-07, inlinetime=3.68e-07)]"
90,"<code object _slotnames at 0x558963749930, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/copyreg.py"", line 107>",2,0,8.413e-06,6.1520000000000006e-06,"[_lsprof.profiler_subentry(code='<built-in method builtins.hasattr>', callcount=2, reccallcount=0, totaltime=1.221e-06, inlinetime=1.221e-06), _lsprof.profiler_subentry(code=""<method 'get' of 'mappingproxy' objects>"", callcount=2, reccallcount=0, totaltime=1.04e-06, inlinetime=1.04e-06)]"
91,"<code object _parse_path at 0x5589637deae0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/pathlib.py"", line 387>",1,0,1.0392000000000001e-05,6.121e-06,"[_lsprof.profiler_subentry(code=""<method 'startswith' of 'str' objects>"", callcount=1, reccallcount=0, totaltime=2.3700000000000002e-07, inlinetime=2.3700000000000002e-07), _lsprof.profiler_subentry(code=""<method 'split' of 'str' objects>"", callcount=1, reccallcount=0, totaltime=8.77e-07, inlinetime=8.77e-07), _lsprof.profiler_subentry(code='<built-in method sys.intern>', callcount=6, reccallcount=0, totaltime=2.379e-06, inlinetime=2.379e-06), _lsprof.profiler_subentry(code=<code object splitroot at 0x55893d593100, file ""<frozen posixpath>"", line 138>, callcount=1, reccallcount=0, totaltime=7.78e-07, inlinetime=5.85e-07)]"
92,"<code object urlsplit at 0x5589637ea090, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/urllib/parse.py"", line 452>",2,0,2.2694e-05,1.4882e-05,"[_lsprof.profiler_subentry(code=<code object _coerce_args at 0x7eaea76b6eb0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/urllib/parse.py"", line 119>, callcount=2, reccallcount=0, totaltime=1.2140000000000002e-06, inlinetime=1.033e-06), _lsprof.profiler_subentry(code=""<method 'lstrip' of 'str' objects>"", callcount=2, reccallcount=0, totaltime=1.017e-06, inlinetime=1.017e-06), _lsprof.profiler_subentry(code=""<method 'strip' of 'str' objects>"", callcount=2, reccallcount=0, totaltime=5.970000000000001e-07, inlinetime=5.970000000000001e-07), _lsprof.profiler_subentry(code=""<method 'replace' of 'str' objects>"", callcount=12, reccallcount=0, totaltime=1.6230000000000002e-06, inlinetime=1.6230000000000002e-06), _lsprof.profiler_subentry(code=""<method 'find' of 'str' objects>"", callcount=2, reccallcount=0, totaltime=7.29e-07, inlinetime=7.29e-07), _lsprof.profiler_subentry(code=<code object _checknetloc at 0x7eaea75d0410, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/urllib/parse.py"", line 421>, callcount=2, reccallcount=0, totaltime=3.1400000000000003e-07, inlinetime=3.1400000000000003e-07), _lsprof.profiler_subentry(code=<code object <lambda> at 0x7eaea7608300, file ""<string>"", line 1>, callcount=2, reccallcount=0, totaltime=2.034e-06, inlinetime=9.060000000000001e-07), _lsprof.profiler_subentry(code=<code object _noop at 0x7eaea75a9140, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/urllib/parse.py"", line 108>, callcount=2, reccallcount=0, totaltime=2.84e-07, inlinetime=2.84e-07)]"
93,"<code object copy at 0x5589637eecf0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/copy.py"", line 61>",3630,0,0.003995478,0.0029655050000000002,"[_lsprof.profiler_subentry(code=<code object _copy_immutable at 0x7eaea7410920, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/copy.py"", line 102>, callcount=3630, reccallcount=0, totaltime=0.00037984000000000005, inlinetime=0.00037984000000000005), _lsprof.profiler_subentry(code=""<method 'get' of 'dict' objects>"", callcount=3630, reccallcount=0, totaltime=0.000650133, inlinetime=0.000650133)]"
94,"<code object _wrapreduction at 0x5589638a7cf0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/_core/fromnumeric.py"", line 69>",12483,0,0.183242595,0.022785347,"[_lsprof.profiler_subentry(code=<code object max at 0x7eae6712b630, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/series.py"", line 6520>, callcount=1815, reccallcount=0, totaltime=0.078502395, inlinetime=0.0016054300000000001), _lsprof.profiler_subentry(code=<code object min at 0x7eae6712b530, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/pandas/core/series.py"", line 6510>, callcount=1815, reccallcount=0, totaltime=0.052288993000000006, inlinetime=0.001265976), _lsprof.profiler_subentry(code='<built-in method builtins.getattr>', callcount=12126, reccallcount=0, totaltime=0.006262122, inlinetime=0.006262122), _lsprof.profiler_subentry(code=""<method 'items' of 'dict' objects>"", callcount=12483, reccallcount=0, totaltime=0.0022994630000000003, inlinetime=0.0022994630000000003), _lsprof.profiler_subentry(code=""<method 'reduce' of 'numpy.ufunc' objects>"", callcount=8853, reccallcount=0, totaltime=0.021104275000000002, inlinetime=0.021104275000000002)]"
95,"<code object require at 0x5589638e42d0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/_core/_asarray.py"", line 26>",7260,0,0.024773115000000002,0.013912259000000001,"[_lsprof.profiler_subentry(code=""<method 'upper' of 'str' objects>"", callcount=7260, reccallcount=0, totaltime=0.0018291310000000001, inlinetime=0.0018291310000000001), _lsprof.profiler_subentry(code='<built-in method numpy.array>', callcount=7260, reccallcount=0, totaltime=0.009031725, inlinetime=0.009031725)]"
96,"<code object _name_get at 0x5589638f10b0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/_core/_dtype.py"", line 342>",4,0,2.1191e-05,8.547000000000001e-06,"[_lsprof.profiler_subentry(code=<code object _kind_name at 0x7eaea729d430, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/_core/_dtype.py"", line 23>, callcount=4, reccallcount=0, totaltime=8.240000000000001e-07, inlinetime=8.240000000000001e-07), _lsprof.profiler_subentry(code=<code object _name_includes_bit_suffix at 0x7eaea7271c30, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/_core/_dtype.py"", line 326>, callcount=4, reccallcount=0, totaltime=1.1419e-05, inlinetime=2.9760000000000004e-06), _lsprof.profiler_subentry(code='<built-in method builtins.issubclass>', callcount=4, reccallcount=0, totaltime=4.01e-07, inlinetime=4.01e-07)]"
97,"<code object _count_reduce_items at 0x5589638f1b40, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/_core/_methods.py"", line 75>",1816,0,0.004812977,0.004325701,"[_lsprof.profiler_subentry(code='<built-in method numpy.lib.array_utils.normalize_axis_index>', callcount=1816, reccallcount=0, totaltime=0.00048727600000000003, inlinetime=0.00048727600000000003)]"
98,"<code object _mean at 0x5589639237a0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/_core/_methods.py"", line 117>",1816,0,0.02069851,0.005869229,"[_lsprof.profiler_subentry(code='<built-in method builtins.hasattr>', callcount=1816, reccallcount=0, totaltime=0.0005511670000000001, inlinetime=0.0005511670000000001), _lsprof.profiler_subentry(code='<built-in method builtins.isinstance>', callcount=1816, reccallcount=0, totaltime=0.00038410100000000003, inlinetime=0.00038410100000000003), _lsprof.profiler_subentry(code=""<method 'reduce' of 'numpy.ufunc' objects>"", callcount=1816, reccallcount=0, totaltime=0.003470452, inlinetime=0.003470452), _lsprof.profiler_subentry(code='<built-in method numpy.asanyarray>', callcount=1816, reccallcount=0, totaltime=0.004925085, inlinetime=0.004925085), _lsprof.profiler_subentry(code=<code object _count_reduce_items at 0x5589638f1b40, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/_core/_methods.py"", line 75>, callcount=1816, reccallcount=0, totaltime=0.004812977, inlinetime=0.004325701), _lsprof.profiler_subentry(code='<built-in method builtins.issubclass>', callcount=3632, reccallcount=0, totaltime=0.000685499, inlinetime=0.000685499)]"
99,"<code object _savez at 0x558963a50040, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py"", line 769>",50,0,0.049785324000000006,0.0008389980000000001,"[_lsprof.profiler_subentry(code='<built-in method posix.fspath>', callcount=50, reccallcount=0, totaltime=1.6034000000000003e-05, inlinetime=1.6034000000000003e-05), _lsprof.profiler_subentry(code=""<method 'endswith' of 'str' objects>"", callcount=50, reccallcount=0, totaltime=3.676e-05, inlinetime=3.676e-05), _lsprof.profiler_subentry(code=""<method '__exit__' of '_io._IOBase' objects>"", callcount=100, reccallcount=0, totaltime=0.015536795, inlinetime=9.0266e-05), _lsprof.profiler_subentry(code='<built-in method builtins.hasattr>', callcount=50, reccallcount=0, totaltime=1.2009000000000001e-05, inlinetime=1.2009000000000001e-05), _lsprof.profiler_subentry(code=<code object close at 0x5589647d5c70, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/zipfile/__init__.py"", line 1931>, callcount=50, reccallcount=0, totaltime=0.010299598, inlinetime=0.000169987), _lsprof.profiler_subentry(code=<code object write_array at 0x558963a9d6b0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/lib/_format_impl.py"", line 702>, callcount=100, reccallcount=0, totaltime=0.008697573, inlinetime=0.001013425), _lsprof.profiler_subentry(code=<code object zipfile_factory at 0x7eaea4dcae20, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py"", line 100>, callcount=50, reccallcount=0, totaltime=0.01167875, inlinetime=0.000196147), _lsprof.profiler_subentry(code=<code object open at 0x5589647efca0, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/zipfile/__init__.py"", line 1561>, callcount=100, reccallcount=0, totaltime=0.0026278680000000002, inlinetime=0.00024750600000000004), _lsprof.profiler_subentry(code=""<method 'items' of 'dict' objects>"", callcount=50, reccallcount=0, totaltime=1.1641000000000001e-05, inlinetime=1.1641000000000001e-05), _lsprof.profiler_subentry(code='<built-in method numpy.asanyarray>', callcount=100, reccallcount=0, totaltime=2.9298000000000003e-05, inlinetime=2.9298000000000003e-05)]"
